caminho_original;nome_original;nome_proposto;raiz;confianca;tipo;numero;orgao;data;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4134.pdf;empenho_DETRAN_view_4134.pdf;CONTRATO_DETRAN_2017-01-02_7d786f.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4114.pdf;empenho_DETRAN_view_4114.pdf;CONTRATO_DETRAN_2017-01-02_56296c.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4402.pdf;empenho_DETRAN_view_4402.pdf;CONTRATO_DETRAN_2016-12-30_0ff643.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2016-12-30;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4123.pdf;empenho_DETRAN_view_4123.pdf;CONTRATO_DETRAN_2017-01-02_bb3bba.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_4545.pdf;empenho_DETRAN_view_4545.pdf;CONTRATO_DETRAN_2017-04-18_9a9c09.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2017-04-18;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_512.pdf;empenho_DETRAN_view_512.pdf;CONTRATO_162009_DETRAN_2014-04-30_d3bbf1.pdf;SPCF_EXTRACAO;0.85;CONTRATO;16/2009;DETRAN;2014-04-30;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_516.pdf;empenho_DETRAN_view_516.pdf;CONTRATO_342011_DETRAN_2014-01-02_708ac6.pdf;SPCF_EXTRACAO;0.85;CONTRATO;34/2011;DETRAN;2014-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_511.pdf;empenho_DETRAN_view_511.pdf;CONTRATO_162009_DETRAN_2014-01-30_b02e1b.pdf;SPCF_EXTRACAO;0.85;CONTRATO;16/2009;DETRAN;2014-01-30;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_509.pdf;empenho_DETRAN_view_509.pdf;CONTRATO_162009_DETRAN_2014-07-30_a0e856.pdf;SPCF_EXTRACAO;0.85;CONTRATO;16/2009;DETRAN;2014-07-30;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_510.pdf;empenho_DETRAN_view_510.pdf;CONTRATO_162009_DETRAN_2014-01-02_791fb7.pdf;SPCF_EXTRACAO;0.85;CONTRATO;16/2009;DETRAN;2014-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_514.pdf;empenho_DETRAN_view_514.pdf;CONTRATO_252011_DETRAN_2014-01-02_686723.pdf;SPCF_EXTRACAO;0.85;CONTRATO;25/2011;DETRAN;2014-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_518.pdf;empenho_DETRAN_view_518.pdf;CONTRATO_282012_DETRAN_2014-09-17_63bfe3.pdf;SPCF_EXTRACAO;0.85;CONTRATO;28/2012;DETRAN;2014-09-17;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_620.pdf;empenho_DETRAN_view_620.pdf;CONTRATO_0212014_DETRAN_2014-11-03_7aa0e5.pdf;SPCF_EXTRACAO;0.85;CONTRATO;021.2014;DETRAN;2014-11-03;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_513.pdf;empenho_DETRAN_view_513.pdf;CONTRATO_DETRAN_2014-01-02_63dda5.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_517.pdf;empenho_DETRAN_view_517.pdf;CONTRATO_282012_DETRAN_2014-01-02_907c1d.pdf;SPCF_EXTRACAO;0.85;CONTRATO;28/2012;DETRAN;2014-01-02;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_515.pdf;empenho_DETRAN_view_515.pdf;CONTRATO_252011_DETRAN_2014-08-11_c1b61b.pdf;SPCF_EXTRACAO;0.85;CONTRATO;25/2011;DETRAN;2014-08-11;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\DETRAN_DOCUMENTACAO\03_EMPENHOS\htmls_brutos\empenho_DETRAN_view_622.pdf;empenho_DETRAN_view_622.pdf;CONTRATO_DETRAN_2014-11-26_c27301.pdf;SPCF_EXTRACAO;0.65;CONTRATO;;DETRAN;2014-11-26;0
