id;fontes;contrato;comp;emissao;venc_est;valor;situacao;prescrita;exigivel;tem_db;empenhos_qtd
6854;GERAL;;02/2019;25/02/2019;2019-03-27;136321,29;Paga;SIM;NAO;NAO;0
6872;GERAL;;02/2019;26/02/2019;2019-03-28;80823,92;Paga;SIM;NAO;NAO;0
7396;GERAL;;03/2019;25/03/2019;2019-04-24;136321,29;Paga;SIM;NAO;NAO;0
7395;GERAL;;03/2019;25/03/2019;2019-04-24;120590,00;Paga;SIM;NAO;NAO;0
7394;GERAL;;03/2019;25/03/2019;2019-04-24;22858,60;Paga;SIM;NAO;NAO;0
7552;GERAL;;03/2019;29/03/2019;2019-04-28;122122,10;Paga;SIM;NAO;NAO;0
7930;GERAL;;04/2019;25/04/2019;2019-05-25;120590,00;Paga;SIM;NAO;NAO;0
7928;GERAL;;04/2019;25/04/2019;2019-05-25;136321,29;Paga;SIM;NAO;NAO;0
7931;GERAL;;04/2019;25/04/2019;2019-05-25;122306,88;Paga;SIM;NAO;NAO;0
7929;GERAL;;04/2019;25/04/2019;2019-05-25;22858,60;Paga;SIM;NAO;NAO;0
8500;GERAL;;05/2019;27/05/2019;2019-06-26;22858,60;Paga;SIM;NAO;NAO;0
8499;GERAL;;05/2019;27/05/2019;2019-06-26;136321,29;Paga;SIM;NAO;NAO;0
8498;GERAL;;05/2019;27/05/2019;2019-06-26;120590,00;Paga;SIM;NAO;NAO;0
8649;GERAL;;05/2019;31/05/2019;2019-06-30;82146,88;Paga;SIM;NAO;NAO;0
9107;GERAL;;06/2019;26/06/2019;2019-07-26;120590,00;Paga;SIM;NAO;NAO;0
9106;GERAL;;06/2019;26/06/2019;2019-07-26;136321,29;Paga;SIM;NAO;NAO;0
9108;GERAL;;06/2019;26/06/2019;2019-07-26;22858,60;Paga;SIM;NAO;NAO;0
9176;GERAL;;06/2019;28/06/2019;2019-07-28;81428,97;Paga;SIM;NAO;NAO;0
9648;GERAL;;07/2019;25/07/2019;2019-08-24;136321,29;Paga;SIM;NAO;NAO;0
9649;GERAL;;07/2019;25/07/2019;2019-08-24;120590,00;Paga;SIM;NAO;NAO;0
9647;GERAL;;07/2019;25/07/2019;2019-08-24;22858,60;Paga;SIM;NAO;NAO;0
9675;GERAL;;07/2019;26/07/2019;2019-08-25;122306,88;Paga;SIM;NAO;NAO;0
10242;GERAL;;08/2019;28/08/2019;2019-09-27;120793,89;Paga;SIM;NAO;NAO;0
10239;GERAL;;08/2019;28/08/2019;2019-09-27;120590,00;Paga;SIM;NAO;NAO;0
10241;GERAL;;08/2019;28/08/2019;2019-09-27;22858,60;Paga;SIM;NAO;NAO;0
10240;GERAL;;08/2019;28/08/2019;2019-09-27;136321,29;Paga;SIM;NAO;NAO;0
10800;GERAL;;09/2019;26/09/2019;2019-10-26;136321,29;Cancelada;SIM;NAO;NAO;0
10802;GERAL;;09/2019;26/09/2019;2019-10-26;120590,00;Paga;SIM;NAO;NAO;0
10801;GERAL;;09/2019;26/09/2019;2019-10-26;22858,60;Paga;SIM;NAO;NAO;0
10806;GERAL;;09/2019;26/09/2019;2019-10-26;137114,61;Paga;SIM;NAO;NAO;0
10886;GERAL;;09/2019;30/09/2019;2019-10-30;80076,21;Paga;SIM;NAO;NAO;0
11319;GERAL;;10/2019;30/10/2019;2019-11-29;120590,00;Paga;SIM;NAO;NAO;0
11320;GERAL;;10/2019;30/10/2019;2019-11-29;22858,60;Paga;SIM;NAO;NAO;0
11321;GERAL;;10/2019;30/10/2019;2019-11-29;138485,12;Paga;SIM;NAO;NAO;0
11352;GERAL;;10/2019;31/10/2019;2019-11-30;80264,65;Paga;SIM;NAO;NAO;0
11725;GERAL;;11/2019;25/11/2019;2019-12-25;22858,60;Paga;SIM;NAO;NAO;0
11726;GERAL;;11/2019;25/11/2019;2019-12-25;120590,00;Paga;SIM;NAO;NAO;0
11727;GERAL;;11/2019;25/11/2019;2019-12-25;138485,12;Paga;SIM;NAO;NAO;0
11865;GERAL;;11/2019;26/11/2019;2019-12-26;122306,88;Paga;SIM;NAO;NAO;0
12151;GERAL;;12/2019;03/12/2019;2020-01-02;22858,60;Paga;SIM;NAO;NAO;0
12152;GERAL;;12/2019;03/12/2019;2020-01-02;120590,00;Paga;SIM;NAO;NAO;0
12150;GERAL;;12/2019;03/12/2019;2020-01-02;138485,12;Paga;SIM;NAO;NAO;0
12557;GERAL;;12/2019;30/12/2019;2020-01-29;122306,88;Paga;SIM;NAO;NAO;0
12914;GERAL;;01/2020;24/01/2020;2020-02-23;19810,79;Paga;SIM;NAO;NAO;0
12911;GERAL;;01/2020;24/01/2020;2020-02-23;16078,67;Paga;SIM;NAO;NAO;0
12912;GERAL;;01/2020;24/01/2020;2020-02-23;104511,33;Paga;SIM;NAO;NAO;0
12909;GERAL;;01/2020;24/01/2020;2020-02-23;3047,81;Paga;SIM;NAO;NAO;0
12913;GERAL;;01/2020;24/01/2020;2020-02-23;120020,44;Paga;SIM;NAO;NAO;0
12910;GERAL;;01/2020;24/01/2020;2020-02-23;18464,68;Paga;SIM;NAO;NAO;0
12938;GERAL;;01/2020;29/01/2020;2020-02-28;122306,88;Paga;SIM;NAO;NAO;0
13376;GERAL;;02/2020;27/02/2020;2020-03-28;120590,00;Paga;SIM;NAO;NAO;0
13378;GERAL;;02/2020;27/02/2020;2020-03-28;22858,60;Paga;SIM;NAO;NAO;0
13377;GERAL;;02/2020;27/02/2020;2020-03-28;138485,12;Paga;SIM;NAO;NAO;0
13445;GERAL;;02/2020;28/02/2020;2020-03-29;122306,88;Paga;SIM;NAO;NAO;0
13986;GERAL;;03/2020;25/03/2020;2020-04-24;120590,00;Paga;SIM;NAO;NAO;0
13985;GERAL;;03/2020;25/03/2020;2020-04-24;22858,60;Paga;SIM;NAO;NAO;0
13987;GERAL;;03/2020;25/03/2020;2020-04-24;138485,12;Paga;SIM;NAO;NAO;0
14032;GERAL;;03/2020;27/03/2020;2020-04-26;122306,88;Paga;SIM;NAO;NAO;0
14464;GERAL;;04/2020;27/04/2020;2020-05-27;138485,12;Paga;SIM;NAO;NAO;0
14465;GERAL;;04/2020;27/04/2020;2020-05-27;120590,00;Paga;SIM;NAO;NAO;0
14463;GERAL;;04/2020;27/04/2020;2020-05-27;22858,60;Paga;SIM;NAO;NAO;0
14531;GERAL;;04/2020;29/04/2020;2020-05-29;122306,88;Paga;SIM;NAO;NAO;0
14918;GERAL;;05/2020;25/05/2020;2020-06-24;120590,00;Paga;SIM;NAO;NAO;0
14920;GERAL;;05/2020;25/05/2020;2020-06-24;138485,12;Paga;SIM;NAO;NAO;0
14919;GERAL;;05/2020;25/05/2020;2020-06-24;22858,60;Paga;SIM;NAO;NAO;0
14945;GERAL;;05/2020;28/05/2020;2020-06-27;122306,88;Paga;SIM;NAO;NAO;0
15341;GERAL;;06/2020;26/06/2020;2020-07-26;138485,12;Paga;SIM;NAO;NAO;0
15340;GERAL;;06/2020;26/06/2020;2020-07-26;22858,60;Paga;SIM;NAO;NAO;0
15342;GERAL;;06/2020;26/06/2020;2020-07-26;120590,00;Paga;SIM;NAO;NAO;0
15408;GERAL;;06/2020;29/06/2020;2020-07-29;122306,88;Paga;SIM;NAO;NAO;0
15791;GERAL;;07/2020;17/07/2020;2020-08-16;138485,12;Paga;SIM;NAO;NAO;0
15790;GERAL;;07/2020;17/07/2020;2020-08-16;22858,60;Paga;SIM;NAO;NAO;0
15789;GERAL;;07/2020;17/07/2020;2020-08-16;120590,00;Paga;SIM;NAO;NAO;0
