id;numero;contrato_ref;valor;situacao;data_emissao;descricao
20575;2024NE0001226;12/2021;286737,75;Ativo;05/07/2024;Contratação de serviços técnicos de informática, compreendendo o desenvolvimento de sistema de informação, visando atender as necessidades deste Departamento Estadual de Trânsito do Amazonas. PARECER Nº 1083/2023 (pág.110) TC: 0012/2021 AD: 04.
20572;2024NE0001223;10/2021;1820097,4;Ativo;05/07/2024;Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. PARECER Nº617/2023 (pág.115) TC: 0010/2021 AD: 03.
20570;2024NE0001221;6/2021;326901,9;Ativo;05/07/2024;Prestação de serviços de tecnologia Virtual Private Network (VPN) para acesso aos sistemas do contratante no computador central da contratada, fornecimento de circuito de transmissão de dados. PARECER Nº 344/2023-DETRAN-AM (pág.129) TC: 0006/2021 AD: 03.
20573;2024NE0001224;75/2022;520000,0;Ativo;05/07/2024;Considerando a necessidade de modificar a dotação orçamentário do Termo de Contrato n° 075/2022- DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei n° 6.225/2023. TC: 0075/2022 AP.
20571;2024NE0001222;8/2021;8511,7;Ativo;05/07/2024;Prestação de serviços de fornecimento e execução dos sistemas plataforma Prodam-RH e plataforma web (Sproweb). Parecer nº 1081/2023-DETRAN/AM/AJUR (pág.119) TC: 0008/2021 AD: 04.
11842;2019NE00603;;23289,49;Ativo;05/07/2019;ANULAÇÃO PARCIAL NE. Nº0024 DE 02/01/2019 4º TERMO ADT. CONTR.Nº023/2014
11841;2019NE00604;;60115,61;Ativo;05/07/2019;ANULAÇÃO PARCIAL N.E.0030 DE 02/01/19 3º TERMO ADT. CONTR.Nº017/2015
20410;2024NE0001026;;59445,73;Ativo;05/06/2024;"ANULAÇÃO NE Nº 2024NE000327 - Contrato/Ajustes Nº 0010/2021 Apostila. Objeto: Contratação de empresa para prestação de serviços de fornecimento de software com a disponibilização de uma solução de gestão de trânsito, em infraestrutura de nuvem, para atender as necessidades deste DETRAN/AM. Dispensa de Licitação nº 251/2021, de acordo com Art.24; XVI; Lei 8.666/93, homologação publicada no dia 19/05/2022."
20409;2024NE0001025;;573475,5;Ativo;05/06/2024;"ANULAÇÃO NE Nº 2024NE00001 - Contrato Nº 0012/2021 Apostila. Objeto: Considerando a necessidade de modificação da dotação orçamentária do Termo de Contrato n° 012/2021-DETRAN/AM, em razão da modificação da Unidade Gestora do Órgão, alterando de 022201 para 011.210, em conformidade com a Lei 6.225/23. Dispensa de Licitação nº 284/2021, de acordo com Art.24; XVI; Lei 8.666/93, homologação publicada no dia 10/06/2021."
23236;2026NE0000006;6/2021;522461,76;Ativo;05/01/2026;Contratação de serviços de tecnologia Virtual Private Network (VPN) para acesso aos sistemas do contratante no computador central da contratada, fornecimento de circuito de transmissão de dados. TC: 0006/2021 AD: 04.
