caminho;caminho_rel;raiz;nome;size_bytes;paginas;tem_texto;chars_p1;suspeito
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13476_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13476_DETRAN.pdf;SPCF_EXTRACAO;empenho_13476_DETRAN.pdf;70589;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13562_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13562_DETRAN.pdf;SPCF_EXTRACAO;empenho_13562_DETRAN.pdf;72115;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13264_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13264_DETRAN.pdf;SPCF_EXTRACAO;empenho_13264_DETRAN.pdf;71561;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13743_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13743_DETRAN.pdf;SPCF_EXTRACAO;empenho_13743_DETRAN.pdf;71267;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13585_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13585_DETRAN.pdf;SPCF_EXTRACAO;empenho_13585_DETRAN.pdf;72849;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13474_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13474_DETRAN.pdf;SPCF_EXTRACAO;empenho_13474_DETRAN.pdf;70670;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13745_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13745_DETRAN.pdf;SPCF_EXTRACAO;empenho_13745_DETRAN.pdf;71423;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13746_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13746_DETRAN.pdf;SPCF_EXTRACAO;empenho_13746_DETRAN.pdf;71420;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13742_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13742_DETRAN.pdf;SPCF_EXTRACAO;empenho_13742_DETRAN.pdf;70800;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13588_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13588_DETRAN.pdf;SPCF_EXTRACAO;empenho_13588_DETRAN.pdf;72364;2;1;1263;0
C:\Users\gabri\Desktop\PROJETO_PRODAM\SPCF_EXTRACAO\pdfs_empenhos\empenho_13586_DETRAN.pdf;SPCF_EXTRACAO\pdfs_empenhos\empenho_13586_DETRAN.pdf;SPCF_EXTRACAO;empenho_13586_DETRAN.pdf;71408;2;1;1263;0
